姓名,性别,年龄,婚姻状况,受教育程度,人生阶段,是否有车,通勤距离,通勤方式,职业,家庭编号,预期行为,行为时间,回家时间,house_ue_id,AGE,SEX,IDENTITY_ID,id,age_type
吕萍,女,34,未婚,小学及以下,上班族,无车,15-30分钟,驾车,教育,2284,去工作地,7时14分,19时0分,YSHY_13_1_011F_02,34,女性,1fad131b-a92d-4b31-961e-b907600cba92,1fad131b-a92d-4b31-961e-b907600cba92,teenager
邓志明,男,5,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,201,去学校,7时35分,15时59分,YSHY_10_1_010F_04,5,男性,5f701a1b-e308-45a8-ac9b-1004189dfa24,5f701a1b-e308-45a8-ac9b-1004189dfa24,child
马洁霞,女,26,已婚,小学及以下,上班族,有车,15分钟内,驾车,制造业,107,去工作地,7时25分,18时16分,YSHY_4_1_020F_01,26,女性,2049c1d7-e57f-4469-bc98-a8ce115c560b,2049c1d7-e57f-4469-bc98-a8ce115c560b,teenager
梁青雪,女,19,未婚,小学及以下,上班族,无车,30-60分钟,驾车,公共设施,2252,去工作地,7时30分,19时27分,YSHY_1_1_023F_02,19,女性,08d23110-fdaa-45e7-b5fd-2bede79f5b5d,08d23110-fdaa-45e7-b5fd-2bede79f5b5d,teenager
彭萍雅,女,43,未婚,初中,上班族,有车,30-60分钟,公共交通,金融,2416,去工作地,8时18分,17时27分,YSHY_2_1_027F_02,43,女性,7adc499e-3f9c-4e9f-9e7c-ee281c9bdec5,7adc499e-3f9c-4e9f-9e7c-ee281c9bdec5,middle-aged
魏斯敏,女,10,未婚,小学及以下,未成年学生,无车,15分钟内,步行,学生,1281,去学校,7时31分,16时58分,YSHY_3_1_024F_02,10,女性,cec0bdf9-9d5a-40fa-ac2a-84fd58998c76,cec0bdf9-9d5a-40fa-ac2a-84fd58998c76,child
刘舟志,男,25,未婚,小学及以下,自由职业,有车,15-30分钟,步行,卫生/公共安全,2565,去小区公共场所,11时19分,15时5分,YSHY_1_1_009F_03,25,男性,b03bd571-47ca-42bd-97c3-3e66624a0577,b03bd571-47ca-42bd-97c3-3e66624a0577,teenager
王莹,女,80,未婚,小学及以下,退休,有车,15分钟内,驾车,社会保障/公共管理,1948,去小区商场,11时4分,16时14分,YSHY_5_1_022F_04,80,女性,3038d3c1-9df3-4634-b81e-c92a6ef3acb4,3038d3c1-9df3-4634-b81e-c92a6ef3acb4,old
梁燕美,女,52,已婚,小学及以下,上班族,无车,30-60分钟,驾车,制造业,225,去工作地,8时3分,18时12分,YSHY_3_1_011F_03,52,女性,05bcb37e-f85e-4841-a784-f62b97f8942a,05bcb37e-f85e-4841-a784-f62b97f8942a,middle-aged
周琳娜,女,58,未婚,小学及以下,退休,无车,15分钟内,驾车,公共设施,2629,去小区商场,10时48分,16时13分,YSHY_9_1_024F_01,58,女性,9efd02c0-999c-49fd-ac06-194438125f5f,9efd02c0-999c-49fd-ac06-194438125f5f,old
任洁纯,女,80,未婚,小学及以下,退休,有车,15分钟内,驾车,租赁/商务服务,1481,去小区商场,8时41分,13时33分,YSHY_11_1_018F_02,80,女性,61919bac-69f8-457d-92a4-7d4bcfbeca07,61919bac-69f8-457d-92a4-7d4bcfbeca07,old
韩建,男,33,已婚,小学及以下,上班族,有车,30-60分钟,公共交通,教育,1237,去工作地,7时40分,18时56分,YSHY_6_1_010F_02,33,男性,a6b8e5d6-c61a-4fed-9abf-c3b4919fe8b0,a6b8e5d6-c61a-4fed-9abf-c3b4919fe8b0,teenager
彭超豪,男,65,未婚,小学及以下,退休,有车,15分钟内,驾车,社会保障/公共管理,2024,去小区商场,10时45分,16时7分,YSHY_8_1_018F_03,65,男性,70d3c205-836b-4b7e-8f17-0cc97cc62670,70d3c205-836b-4b7e-8f17-0cc97cc62670,old
朱琴莎,女,70,未婚,大专,上班族,有车,30-60分钟,驾车,社会保障/公共管理,2327,去工作地,7时52分,18时43分,YSHY_8_1_010F_04,70,女性,c98157b4-80c4-4406-b3e4-2081c8cb1251,c98157b4-80c4-4406-b3e4-2081c8cb1251,old
王磊,男,64,未婚,高中,退休,无车,15分钟内,驾车,制造业,2413,去小区商场,10时11分,15时13分,YSHY_5_1_016F_02,64,男性,25e2460a-5a8e-4e7f-b533-918a181937d4,25e2460a-5a8e-4e7f-b533-918a181937d4,old
冯健勋,男,59,已婚,初中,上班族,有车,15-30分钟,公共交通,交通运输/仓储/邮政,1238,去工作地,7时33分,18时37分,YSHY_13_1_016F_01,59,男性,a4faacf5-f383-4ae6-a1ab-8d8ab19c065e,a4faacf5-f383-4ae6-a1ab-8d8ab19c065e,old
李杰,男,53,未婚,小学及以下,上班族,无车,30-60分钟,驾车,制造业,1504,去工作地,8时2分,17时45分,YSHY_3_1_016F_03,53,男性,8d9edfd0-99cd-415b-89af-b56fac206f07,8d9edfd0-99cd-415b-89af-b56fac206f07,middle-aged
张光光,男,70,已婚,高中,上班族,有车,15-30分钟,公共交通,教育,1239,去工作地,7时14分,17时26分,YSHY_12_1_020F_03,70,男性,47562c36-4cc6-4cb4-8aca-fe2f72596e0b,47562c36-4cc6-4cb4-8aca-fe2f72596e0b,old
黄平涛,男,32,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,建筑,1240,去工作地,8时2分,17时50分,YSHY_5_1_023F_01,32,男性,8f03d0c9-8b33-49ab-b5e2-5707755b9d16,8f03d0c9-8b33-49ab-b5e2-5707755b9d16,teenager
许斯斯,女,0,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,818,去学校,7时30分,16时3分,YSHY_12_1_007F_02,0,女性,c413fbeb-9c45-4f86-9295-5e275b5f9164,c413fbeb-9c45-4f86-9295-5e275b5f9164,old
曹婷美,女,53,未婚,小学及以下,上班族,有车,30-60分钟,公共交通,交通运输/仓储/邮政,1895,去工作地,7时15分,18时46分,YSHY_12_1_021F_04,53,女性,10250f6d-afd4-4d00-8a09-2b15f6a5e400,10250f6d-afd4-4d00-8a09-2b15f6a5e400,middle-aged
刘涛,男,9,未婚,小学及以下,未成年学生,无车,60分钟以上,公共交通,学生,1232,去学校,7时25分,15时59分,YSHY_4_1_001F_03,9,男性,73a4624e-a0c6-4239-9e18-79f25d1502a5,73a4624e-a0c6-4239-9e18-79f25d1502a5,child
魏青,女,5,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,796,去学校,7时30分,15时59分,YSHY_1_1_007F_01,5,女性,beb8efab-1d95-4ce1-a539-5bb6954becfa,beb8efab-1d95-4ce1-a539-5bb6954becfa,child
董萍,女,53,已婚,小学及以下,上班族,有车,15-30分钟,驾车,制造业,737,去工作地,7时46分,18时46分,YSHY_3_1_009F_02,53,女性,83f19569-8a63-4605-8749-e320992cc637,83f19569-8a63-4605-8749-e320992cc637,middle-aged
董晓斌,男,90,未婚,初中,退休,有车,15分钟内,驾车,建筑,1860,去小区商场,9时42分,14时49分,YSHY_2_1_011F_03,90,男性,754ffdf4-61b3-45e8-9283-38307d066c59,754ffdf4-61b3-45e8-9283-38307d066c59,old
彭光,男,22,已婚,大专,大学生,有车,15-30分钟,驾车,大学生,1241,去学校,8时23分,15时24分,YSHY_11_1_008F_02,22,男性,8859f82b-e67e-4840-a2d7-1a7491870d30,8859f82b-e67e-4840-a2d7-1a7491870d30,teenager
黄豪,男,80,未婚,小学及以下,退休,无车,15分钟内,公共交通,卫生/公共安全,1640,去小区商场,8时49分,13时31分,YSHY_9_1_002F_02,80,男性,289f061d-867b-4257-b064-df109133ea0e,289f061d-867b-4257-b064-df109133ea0e,old
刘涛志,男,11,未婚,小学及以下,未成年学生,无车,15分钟内,公共交通,学生,1313,去学校,7时31分,16时59分,YSHY_8_1_024F_03,11,男性,55b98032-639c-4961-974e-84a3d7a58dd4,55b98032-639c-4961-974e-84a3d7a58dd4,child
王志健,男,39,已婚,小学及以下,上班族,有车,15-30分钟,驾车,制造业,1242,去工作地,7时55分,19时34分,YSHY_1_1_013F_01,39,男性,15375708-62d3-43f5-8156-6de05ecf69cc,15375708-62d3-43f5-8156-6de05ecf69cc,teenager
任唯娜,女,88,未婚,小学及以下,退休,无车,15分钟内,驾车,租赁/商务服务,2441,去小区商场,8时41分,14时1分,YSHY_9_1_005F_03,88,女性,0f42bf56-2624-4a98-bd3e-8bca60a76f18,0f42bf56-2624-4a98-bd3e-8bca60a76f18,old
董斯,女,49,未婚,小学及以下,上班族,有车,30-60分钟,驾车,金融,1404,去工作地,7时41分,17时32分,YSHY_5_1_016F_03,49,女性,e159a0c6-a953-4e69-af9d-35c200487d92,e159a0c6-a953-4e69-af9d-35c200487d92,middle-aged
周晓茹,女,43,未婚,小学及以下,自由职业,无车,15分钟内,驾车,社会保障/公共管理,2589,去小区公共场所,10时47分,16时35分,YSHY_4_1_020F_04,43,女性,11dcff30-b83d-4b4f-8766-04f989c09e4a,11dcff30-b83d-4b4f-8766-04f989c09e4a,middle-aged
朱娜燕,女,53,未婚,小学及以下,上班族,无车,30-60分钟,驾车,社会保障/公共管理,2502,去工作地,7时57分,18时41分,YSHY_9_1_017F_04,53,女性,4fe94fae-df87-43a6-8cdf-870f3b8949f3,4fe94fae-df87-43a6-8cdf-870f3b8949f3,middle-aged
谢丽,女,41,未婚,小学及以下,上班族,有车,15-30分钟,驾车,制造业,2311,去工作地,7时19分,18时14分,YSHY_5_1_025F_02,41,女性,b94d576f-12e2-4676-9528-25e2885aa43c,b94d576f-12e2-4676-9528-25e2885aa43c,middle-aged
沈政泽,男,19,未婚,高中,上班族,无车,15-30分钟,驾车,制造业,2000,去工作地,7时42分,17时43分,YSHY_8_1_016F_02,19,男性,8218e573-ad71-42ce-b7fe-fd084f4454f4,8218e573-ad71-42ce-b7fe-fd084f4454f4,teenager
韩杰涛,男,23,未婚,小学及以下,上班族,有车,15-30分钟,公共交通,交通运输/仓储/邮政,1912,去工作地,7时48分,19时20分,YSHY_6_1_019F_03,23,男性,735c231b-5bf5-4913-8178-2e1f10a35228,735c231b-5bf5-4913-8178-2e1f10a35228,teenager
彭莉,女,64,未婚,硕士,退休,无车,15分钟内,驾车,住宿/餐饮,2373,去小区商场,9时15分,14时30分,YSHY_3_1_024F_01,64,女性,2c284a7c-a497-4316-aaea-f660619731aa,2c284a7c-a497-4316-aaea-f660619731aa,old
杨光立,男,27,已婚,初中,上班族,有车,30-60分钟,驾车,建筑,1243,去工作地,7时23分,17时17分,YSHY_10_1_015F_02,27,男性,2b03ca26-97d1-4bbc-93cf-b679fbe13a88,2b03ca26-97d1-4bbc-93cf-b679fbe13a88,teenager
董光,男,49,未婚,小学及以下,自由职业,有车,15分钟内,驾车,建筑,2107,去小区公共场所,11时27分,17时7分,YSHY_7_1_027F_04,49,男性,d8f98ae8-dfa0-41c6-8202-c7bbdc5f644d,d8f98ae8-dfa0-41c6-8202-c7bbdc5f644d,middle-aged
邓娜敏,女,9,未婚,小学及以下,未成年学生,无车,15分钟内,驾车,学生,354,去学校,7时32分,16时0分,YSHY_1_1_023F_02,9,女性,3e33d1fa-d44a-4cc0-979b-25cce53d5fe2,3e33d1fa-d44a-4cc0-979b-25cce53d5fe2,child
李娜,女,19,未婚,小学及以下,上班族,无车,15-30分钟,其他,建筑,1888,去工作地,7时22分,18时38分,YSHY_6_1_025F_04,19,女性,a1f35795-21a7-4ce3-89fc-226e8f69740a,a1f35795-21a7-4ce3-89fc-226e8f69740a,teenager
何静,女,9,未婚,小学及以下,未成年学生,无车,30-60分钟,驾车,学生,337,去学校,7时39分,15时58分,YSHY_7_1_018F_04,9,女性,ed0af8d9-a5ce-45f7-b3b3-900bf5fb0c61,ed0af8d9-a5ce-45f7-b3b3-900bf5fb0c61,child
谢彦,男,7,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,183,去学校,7时33分,16时3分,YSHY_11_1_005F_03,7,男性,249cb02e-f422-4a7e-a3fe-d40e0fc8efec,249cb02e-f422-4a7e-a3fe-d40e0fc8efec,child
唐梦,女,86,未婚,小学及以下,退休,有车,15分钟内,驾车,交通运输/仓储/邮政,2507,去小区商场,10时5分,15时10分,YSHY_9_1_019F_02,86,女性,a223af62-b13a-4365-b309-5a06dfdb58bb,a223af62-b13a-4365-b309-5a06dfdb58bb,old
于雅,女,51,已婚,初中,上班族,有车,15-30分钟,驾车,社会保障/公共管理,534,去工作地,7时58分,18时44分,YSHY_1_1_011F_01,51,女性,93af9267-c19c-4e99-9617-b16d7fe540c9,93af9267-c19c-4e99-9617-b16d7fe540c9,middle-aged
孙紫,女,37,未婚,小学及以下,自由职业,无车,15分钟内,驾车,社会保障/公共管理,1941,去小区公共场所,11时39分,16时29分,YSHY_8_1_023F_03,37,女性,bcdecae4-5d39-4c84-b2bf-97fcb47c8ab3,bcdecae4-5d39-4c84-b2bf-97fcb47c8ab3,teenager
杨华,男,39,未婚,大专,上班族,有车,15-30分钟,驾车,批发和零售,2250,去工作地,7时28分,18时8分,YSHY_5_1_029F_01,39,男性,ab9769f0-62fb-4b50-8ce3-7335efb913ce,ab9769f0-62fb-4b50-8ce3-7335efb913ce,teenager
朱光梓,男,32,未婚,初中,上班族,无车,15分钟内,驾车,住宿/餐饮,2408,去工作地,8时7分,18时9分,YSHY_12_1_015F_02,32,男性,4326ecd4-30ab-4878-a0f6-7658928865b8,4326ecd4-30ab-4878-a0f6-7658928865b8,teenager
刘武涛,男,47,已婚,小学及以下,上班族,有车,15-30分钟,公共交通,教育,1244,去工作地,7时54分,18时14分,YSHY_8_1_022F_02,47,男性,fe18745a-1162-4fb8-bd79-5e2c7258e543,fe18745a-1162-4fb8-bd79-5e2c7258e543,middle-aged
苏志磊,男,41,已婚,本科,上班族,无车,15-30分钟,驾车,制造业,1245,去工作地,7时27分,18时42分,YSHY_8_1_017F_02,41,男性,5e724bcf-d072-4846-9ffb-c1d8ce0685db,5e724bcf-d072-4846-9ffb-c1d8ce0685db,middle-aged
沈珺,女,9,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,439,去学校,7时28分,15时58分,YSHY_10_1_018F_01,9,女性,3b766217-54f1-4573-8d34-d1cc3d6c1306,3b766217-54f1-4573-8d34-d1cc3d6c1306,child
潘妍美,女,13,未婚,小学及以下,未成年学生,无车,15-30分钟,驾车,学生,983,去学校,7时22分,17时29分,YSHY_10_1_007F_01,13,女性,31497a6e-87e2-461e-8e95-32b4bf7052df,31497a6e-87e2-461e-8e95-32b4bf7052df,child
叶婷,女,87,未婚,小学及以下,上班族,有车,60分钟以上,驾车,建筑,2005,去工作地,7时42分,18时35分,YSHY_12_1_004F_02,87,女性,e007d5f6-aabc-4403-97e0-02a6926e7033,e007d5f6-aabc-4403-97e0-02a6926e7033,old
谢松,男,7,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,183,去学校,7时28分,15时59分,YSHY_11_1_005F_03,7,男性,b30dcb4f-719b-4e06-9790-89d2fabd6d39,b30dcb4f-719b-4e06-9790-89d2fabd6d39,child
彭鹏志,男,37,未婚,初中,上班族,无车,30-60分钟,驾车,卫生/公共安全,2493,去工作地,7时58分,17时7分,YSHY_1_1_018F_01,37,男性,e1b8b67a-1fcd-4749-9531-2dbe51c90e43,e1b8b67a-1fcd-4749-9531-2dbe51c90e43,teenager
许琳,女,42,未婚,小学及以下,上班族,有车,15-30分钟,步行,建筑,2608,去工作地,7时34分,19时34分,YSHY_10_1_021F_03,42,女性,bca93d12-c3cd-4ad1-873c-076257ccd013,bca93d12-c3cd-4ad1-873c-076257ccd013,middle-aged
叶莹燕,女,58,已婚,小学及以下,退休,有车,15分钟内,驾车,建筑,355,去小区商场,9时18分,14时19分,YSHY_13_1_027F_01,58,女性,61d9d310-2cce-44e6-a219-dc4681be19b8,61d9d310-2cce-44e6-a219-dc4681be19b8,old
宋明,男,22,未婚,小学及以下,上班族,有车,15-30分钟,公共交通,制造业,2037,去工作地,7时52分,18时34分,YSHY_9_1_023F_04,22,男性,f31adb02-cae1-410e-879c-4c39bf8a3470,f31adb02-cae1-410e-879c-4c39bf8a3470,teenager
吕珺婷,女,7,未婚,小学及以下,未成年学生,无车,15-30分钟,公共交通,学生,1015,去学校,7时34分,16时0分,YSHY_6_1_022F_04,7,女性,468b3d86-c546-4e44-b121-9b97e2df4e23,468b3d86-c546-4e44-b121-9b97e2df4e23,child
彭文,男,80,未婚,小学及以下,上班族,有车,15分钟内,驾车,制造业,1635,去工作地,7时20分,18时21分,YSHY_10_1_002F_03,80,男性,6a90728c-1d9e-4e83-b175-926b612f8982,6a90728c-1d9e-4e83-b175-926b612f8982,old
曹馨洁,女,90,未婚,初中,上班族,有车,30-60分钟,驾车,公共设施,2060,去工作地,7时53分,18时3分,YSHY_3_1_024F_04,90,女性,7ef188cd-c1c4-4478-a811-d70a43368adf,7ef188cd-c1c4-4478-a811-d70a43368adf,old
田洁倩,女,26,未婚,初中,上班族,无车,30-60分钟,驾车,金融,2184,去工作地,7时28分,18时25分,YSHY_1_1_015F_01,26,女性,45abe1c2-9611-4df6-94dd-697e18af43ad,45abe1c2-9611-4df6-94dd-697e18af43ad,teenager
蒋琳妍,女,2,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,793,去学校,7时30分,16时0分,YSHY_1_1_016F_04,2,女性,cd5b5f60-ae00-41a1-ae93-4384249ca951,cd5b5f60-ae00-41a1-ae93-4384249ca951,child
蒋青,女,34,未婚,大专,上班族,无车,30-60分钟,公共交通,制造业,1284,去工作地,8时3分,18时14分,YSHY_1_1_013F_02,34,女性,97def8f9-c52b-4627-b568-c68421c0e367,97def8f9-c52b-4627-b568-c68421c0e367,teenager
郭霞,女,31,已婚,小学及以下,上班族,无车,15分钟内,驾车,制造业,918,去工作地,8时15分,18时1分,YSHY_1_1_013F_04,31,女性,239dc962-5cfe-40b5-ab15-eef301e6ae3a,239dc962-5cfe-40b5-ab15-eef301e6ae3a,teenager
黄华平,男,52,已婚,初中,上班族,有车,15分钟内,公共交通,教育,1246,去工作地,7时32分,19时20分,YSHY_1_1_023F_03,52,男性,6904aad1-2fe1-4040-a12b-b97d73e7981f,6904aad1-2fe1-4040-a12b-b97d73e7981f,middle-aged
魏平天,男,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,635,去学校,7时30分,16时3分,YSHY_10_1_026F_04,1,男性,26c47d02-9852-4aef-b376-6a23d89da050,26c47d02-9852-4aef-b376-6a23d89da050,child
杨志,男,52,未婚,高中,自由职业,无车,15-30分钟,驾车,金融,2564,去小区公共场所,11时49分,14时7分,YSHY_11_1_027F_03,52,男性,eb331884-5855-4e73-86d0-fff98d1886e2,eb331884-5855-4e73-86d0-fff98d1886e2,middle-aged
谢琴斯,女,51,已婚,小学及以下,上班族,无车,15分钟内,驾车,自然资源,855,去工作地,7时12分,18时18分,YSHY_10_1_016F_02,51,女性,d3a0c1f7-233e-4ae2-ae4b-3748df7afe54,d3a0c1f7-233e-4ae2-ae4b-3748df7afe54,middle-aged
谢凛,男,53,未婚,小学及以下,上班族,有车,15分钟内,公共交通,交通运输/仓储/邮政,2412,去工作地,7时17分,18时57分,YSHY_1_1_010F_02,53,男性,a7e0db09-4781-49d6-a1b7-86103f822e05,a7e0db09-4781-49d6-a1b7-86103f822e05,middle-aged
于莹梅,女,50,未婚,小学及以下,自由职业,有车,15分钟内,驾车,建筑,1510,去小区公共场所,10时17分,13时50分,YSHY_9_1_024F_04,50,女性,1bb7e958-96c4-4032-8e52-80e1a665be09,1bb7e958-96c4-4032-8e52-80e1a665be09,middle-aged
彭文,男,3,未婚,小学及以下,未成年学生,无车,30-60分钟,步行,学生,886,去学校,7时30分,16时0分,YSHY_8_1_005F_03,3,男性,70da39af-8089-4731-ad9f-9f03c28edbb3,70da39af-8089-4731-ad9f-9f03c28edbb3,child
梁玲嫣,女,31,未婚,小学及以下,上班族,有车,30-60分钟,公共交通,批发和零售,1950,去工作地,7时56分,17时49分,YSHY_11_1_003F_04,31,女性,a81b7368-091e-4ba2-a7e5-1edc05ec0bf7,a81b7368-091e-4ba2-a7e5-1edc05ec0bf7,teenager
宋宗,男,71,未婚,小学及以下,退休,有车,15分钟内,其他,社会保障/公共管理,1385,去小区商场,10时59分,15时41分,YSHY_6_1_020F_03,71,男性,d1d69329-3d4b-411e-8633-4321650c54ce,d1d69329-3d4b-411e-8633-4321650c54ce,old
郑平,男,39,未婚,大专,上班族,无车,60分钟以上,公共交通,教育,1569,去工作地,7时26分,19时32分,YSHY_10_1_016F_04,39,男性,a547deba-bea7-4dcb-9bf6-75a164fa7090,a547deba-bea7-4dcb-9bf6-75a164fa7090,teenager
高磊,男,6,未婚,小学及以下,未成年学生,无车,60分钟以上,驾车,学生,19,去学校,7时33分,15时59分,YSHY_2_1_016F_03,6,男性,903b2c16-3b74-4445-a08a-7c51de8fe37a,903b2c16-3b74-4445-a08a-7c51de8fe37a,child
宋莉琴,女,49,未婚,小学及以下,上班族,无车,30-60分钟,驾车,采矿业,1717,去工作地,7时42分,19时12分,YSHY_13_1_020F_02,49,女性,12a17850-3985-4922-944c-74c8f7ca4d17,12a17850-3985-4922-944c-74c8f7ca4d17,middle-aged
张馨,女,26,未婚,小学及以下,上班族,有车,60分钟以上,公共交通,采矿业,2552,去工作地,7时45分,18时12分,YSHY_1_1_013F_04,26,女性,a2814422-66a9-4e4a-9447-c2038042fac3,a2814422-66a9-4e4a-9447-c2038042fac3,teenager
郑峰,男,61,未婚,小学及以下,上班族,有车,15-30分钟,驾车,金融,2581,去工作地,7时42分,18时30分,YSHY_11_1_016F_02,61,男性,af46b867-aa00-47ad-af30-715a30e23d75,af46b867-aa00-47ad-af30-715a30e23d75,old
徐洋燕,女,26,已婚,小学及以下,上班族,有车,15-30分钟,驾车,社会保障/公共管理,758,去工作地,7时52分,18时7分,YSHY_2_1_020F_02,26,女性,2f192815-667e-47b6-b8a5-f78c1514e372,2f192815-667e-47b6-b8a5-f78c1514e372,teenager
赵伟俊,男,23,未婚,本科,上班族,无车,60分钟以上,驾车,居民服务,1350,去工作地,8时10分,18时19分,YSHY_7_1_006F_02,23,男性,491dd0a3-c6f4-4c75-b4b5-42ba6c7dc6bc,491dd0a3-c6f4-4c75-b4b5-42ba6c7dc6bc,teenager
韩霞玲,女,44,已婚,小学及以下,上班族,无车,15分钟内,公共交通,采矿业,1062,去工作地,7时37分,18时8分,YSHY_6_1_013F_04,44,女性,ceaa5c24-e295-4965-aa99-2d026bbc8d00,ceaa5c24-e295-4965-aa99-2d026bbc8d00,middle-aged
张杰航,男,26,未婚,小学及以下,自由职业,有车,30-60分钟,公共交通,制造业,2598,去小区公共场所,12时58分,19时23分,YSHY_5_1_026F_03,26,男性,ed933452-5be6-4597-a072-3f777b3e86f5,ed933452-5be6-4597-a072-3f777b3e86f5,teenager
肖建浩,男,56,未婚,初中,上班族,有车,15-30分钟,驾车,建筑,1425,去工作地,7时56分,17时53分,YSHY_12_1_008F_01,56,男性,6e1b8c75-b7f2-4a4c-8270-1c94320bfb61,6e1b8c75-b7f2-4a4c-8270-1c94320bfb61,old
梁立,男,62,未婚,小学及以下,退休,无车,15分钟内,驾车,制造业,2662,去小区商场,9时33分,14时32分,YSHY_9_1_021F_03,62,男性,01d55196-1d2b-4edd-8b3d-ec174c4c5d6e,01d55196-1d2b-4edd-8b3d-ec174c4c5d6e,old
梁斌学,男,64,未婚,高中,退休,无车,15分钟内,驾车,制造业,2015,去小区商场,9时55分,15时1分,YSHY_13_1_003F_02,64,男性,4ed74e7b-a4f4-4bf2-8b92-a88db7c40f16,4ed74e7b-a4f4-4bf2-8b92-a88db7c40f16,old
于秀,女,38,未婚,小学及以下,上班族,有车,60分钟以上,驾车,批发和零售,1708,去工作地,7时49分,18时53分,YSHY_12_1_008F_01,38,女性,a5c63e73-5747-4a5b-940c-bf76b98e85bf,a5c63e73-5747-4a5b-940c-bf76b98e85bf,teenager
马志武,男,46,已婚,小学及以下,自由职业,有车,15分钟内,驾车,制造业,1247,去小区公共场所,10时38分,16时43分,YSHY_2_1_030F_04,46,男性,10fa20ce-0abb-4ae9-a35e-30860ed86ca0,10fa20ce-0abb-4ae9-a35e-30860ed86ca0,middle-aged
苏娜艳,女,0,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,516,去学校,7时31分,16时3分,YSHY_1_1_031F_01,0,女性,191f8285-3e62-4604-9600-6c2c98ae2a8e,191f8285-3e62-4604-9600-6c2c98ae2a8e,old
余倩,女,42,未婚,小学及以下,上班族,无车,30-60分钟,公共交通,住宿/餐饮,2076,去工作地,7时31分,17时50分,YSHY_3_1_027F_04,42,女性,2f610fa7-9dcb-4dd3-8a07-46a3fc3b8345,2f610fa7-9dcb-4dd3-8a07-46a3fc3b8345,middle-aged
吴雪,女,59,已婚,初中,上班族,无车,15分钟内,公共交通,卫生/公共安全,1,去工作地,7时44分,18时20分,YSHY_7_1_008F_02,59,女性,b54186e9-848e-411d-8fc9-e691ad9db52e,b54186e9-848e-411d-8fc9-e691ad9db52e,old
吴伟,男,23,未婚,小学及以下,自由职业,有车,30-60分钟,驾车,教育,2627,去小区公共场所,11时2分,17时25分,YSHY_4_1_024F_01,23,男性,0d3ca728-3cee-49ca-b303-91ff2191609d,0d3ca728-3cee-49ca-b303-91ff2191609d,teenager
邓骏柏,男,56,未婚,小学及以下,上班族,无车,15-30分钟,公共交通,社会保障/公共管理,1851,去工作地,7时37分,19时0分,YSHY_8_1_011F_04,56,男性,721803f3-834d-49a5-800f-6ecf2b1905e9,721803f3-834d-49a5-800f-6ecf2b1905e9,old
于凛浩,男,10,未婚,小学及以下,未成年学生,无车,30-60分钟,公共交通,学生,988,去学校,7时31分,16时59分,YSHY_8_1_013F_04,10,男性,cd2db201-a7b7-4c1c-bb51-58845c6b5131,cd2db201-a7b7-4c1c-bb51-58845c6b5131,child
彭文,男,53,未婚,高中,上班族,无车,15-30分钟,公共交通,社会保障/公共管理,2626,去工作地,7时14分,19时42分,YSHY_8_1_003F_01,53,男性,04187270-c7b0-4502-8f7c-cca4d7270476,04187270-c7b0-4502-8f7c-cca4d7270476,middle-aged
高钊松,男,1,未婚,小学及以下,未成年学生,无车,15分钟内,步行,无,10,去学校,7时27分,16时1分,YSHY_10_1_023F_04,1,男性,a753637e-f4d1-4577-99fb-f60609b1e412,a753637e-f4d1-4577-99fb-f60609b1e412,child
李斌骏,男,26,未婚,小学及以下,上班族,有车,15-30分钟,驾车,金融,2417,去工作地,7时20分,17时53分,YSHY_2_1_015F_03,26,男性,3e03af3d-70bf-4ca5-9ac2-00b603e795f4,3e03af3d-70bf-4ca5-9ac2-00b603e795f4,teenager
田强军,男,46,已婚,小学及以下,上班族,无车,15-30分钟,驾车,建筑,1248,去工作地,7时45分,19时30分,YSHY_8_1_025F_04,46,男性,0bd3d69f-7477-476c-817e-a0683e0d3705,0bd3d69f-7477-476c-817e-a0683e0d3705,middle-aged
杨柏,男,88,未婚,小学及以下,退休,有车,15分钟内,驾车,建筑,2125,去小区商场,9时36分,15时4分,YSHY_6_1_004F_01,88,男性,288f91a2-8911-4bcd-897f-90e56b1c5453,288f91a2-8911-4bcd-897f-90e56b1c5453,old
马霞,女,38,已婚,小学及以下,上班族,无车,30-60分钟,公共交通,科研,85,去工作地,8时5分,17时53分,YSHY_1_1_005F_04,38,女性,501086ef-0209-4317-a014-87d3d8e258a2,501086ef-0209-4317-a014-87d3d8e258a2,teenager
李茹,女,49,未婚,初中,自由职业,有车,30-60分钟,驾车,制造业,2520,去小区公共场所,11时34分,14时48分,YSHY_7_1_014F_01,49,女性,094435b0-08e9-42d2-947b-2f8ed80bc777,094435b0-08e9-42d2-947b-2f8ed80bc777,middle-aged
